window,start_date,end_date,E_start,E_end,E_growth_pct,P_start,P_end,P_growth_pct,ln_E_ratio,ln_P_ratio,ln_EY_ratio_implied_by_E_and_P,ln_EY_ratio_actual,premium_trailing_change_bp,note,source
main_full_2023-12_to_2026-06,2023-12,2026-06,192.43,295.3881,53.50418333939615,4685.0515000000005,7450.032857142856,59.01709633592833,0.4285576336931856,0.46384153457717114,-0.03528390088398553,-0.03528390088398526,-48.59429437750222,"ln(EY1/EY0)=ln(E1/E0)-ln(P1/P0) is an exact identity (both columns should match to rounding); premium_trailing change also includes the real-yield leg, not shown in this file (see 02_window_changes.csv)",_research/2026-09-12-P2c-monthly_series.csv
main_first_leg_2023-12_to_2025-12,2023-12,2025-12,192.43,240.634,25.050148105804702,4685.0515000000005,6853.025454545453,46.2742822473873,0.22354465570752388,0.3803133188027788,-0.15676866309525492,-0.15676866309525475,-65.95554447480477,"ln(EY1/EY0)=ln(E1/E0)-ln(P1/P0) is an exact identity (both columns should match to rounding); premium_trailing change also includes the real-yield leg, not shown in this file (see 02_window_changes.csv)",_research/2026-09-12-P2c-monthly_series.csv
main_H1-2026_2025-12_to_2026-06,2025-12,2026-06,240.634,295.3881,22.75409958692456,6853.025454545453,7450.032857142856,8.711588867679199,0.20501297798566182,0.0835282157743924,0.12148476221126941,0.12148476221126957,17.361250097302538,"ln(EY1/EY0)=ln(E1/E0)-ln(P1/P0) is an exact identity (both columns should match to rounding); premium_trailing change also includes the real-yield leg, not shown in this file (see 02_window_changes.csv)",_research/2026-09-12-P2c-monthly_series.csv
control_full_2014-12_to_2019-12,2014-12,2019-12,102.31,139.47,36.32098524093441,2054.27,3176.7495238095235,54.64128492406175,0.30984210447975447,0.4359379580087474,-0.12609585352899294,-0.12609585352899305,-22.432865199431262,"ln(EY1/EY0)=ln(E1/E0)-ln(P1/P0) is an exact identity (both columns should match to rounding); premium_trailing change also includes the real-yield leg, not shown in this file (see 02_window_changes.csv)",_research/2026-09-12-P2c-monthly_series.csv
