py_quintile,n,mean_spy_ret,mean_gspc_ret,mean_py,mean_cash_bn,mean_vix,mean_n_payers
1,473,0.0006603474223804762,0.0007024088705742506,4.025462281453908e-06,0.15610056034298206,17.63122621499963,1.5031712473572938
2,472,0.001107205321045116,0.0011059149043390608,1.3954732939737208e-05,0.5275567694280096,18.49605931669979,2.8029661016949152
3,472,3.357486121690425e-05,4.080576656524953e-05,3.267225862825177e-05,1.238965109866024,18.40572035110603,4.622881355932203
4,472,-0.0004895386038592268,-0.0004882818618935688,6.670968067302573e-05,2.4778662479691476,18.444957630108977,6.627118644067797
5,473,0.0012657362595277148,0.0012810141477869014,0.00013617286689558683,4.672125189422193,18.863128996802686,10.050739957716702
