label,measure,start,end,real_yield_start_pct,real_yield_end_pct,real_yield_change_pp,premium_start_pct,premium_end_pct,premium_change_pp,EP_start_pct,EP_end_pct,EP_change_pp,EP_change_check_pp,PE_start,PE_end,PE_change,pe_effect_rate_pts,pe_effect_premium_pts,pct_of_start_value_from_rate,pct_of_start_value_from_premium
2004,trailing_E,2003-12,2004-12,1.9836363636363636,1.6686363636363637,-0.31499999999999995,2.526653834764584,3.2137445371233024,0.6870907023587183,4.510290198400948,4.882380900759666,0.3720907023587188,0.37209070235871833,22.171522363561756,20.481810418445775,-1.689711945115981,1.453040632120068,-3.142752577236049,6.553634920929459,-14.17472614510707
2004,CAPE_E10,2003-12,2004-12,1.9836363636363636,1.6686363636363637,-0.31499999999999995,1.7707980207200291,2.0153092896396148,0.24451126891958563,3.7544343843563928,3.6839456532759787,-0.07048873108041409,-0.07048873108041431,26.635170511081547,27.144808694741243,0.5096381836596962,2.288797374957534,-1.779159191297838,8.593139563365218,-6.679736443052316
2005,trailing_E,2004-12,2005-12,1.6686363636363637,2.1233333333333335,0.4546969696969698,3.2137445371233024,3.4096402735189018,0.19589573639559932,4.882380900759666,5.532973606852235,0.6505927060925689,0.6505927060925691,20.481810418445775,18.073464127165973,-2.408346291279802,-1.681610562040067,-0.726735729239735,-8.21026329062015,-3.54820064433973
2005,CAPE_E10,2004-12,2005-12,1.6686363636363637,2.1233333333333335,0.4546969696969698,2.0153092896396148,1.6582709831029732,-0.3570383065366416,3.6839456532759787,3.7816043164363067,0.09765866316032801,0.09765866316032823,27.144808694741243,26.443803114292404,-0.7010055804488395,-3.2982198301459302,2.5972142496970907,-12.150462606814736,9.56799614579803
2006,trailing_E,2005-12,2006-12,2.1233333333333335,2.2504999999999997,0.1271666666666662,3.4096402735189018,3.504149044774856,0.09450877125595403,5.532973606852235,5.7546490447748555,0.22167543792262023,0.22167543792262023,18.073464127165973,17.377254324622744,-0.6962098025432297,-0.39936941711691354,-0.2968403854263162,-2.209700444291844,-1.6424100180116523
2006,CAPE_E10,2005-12,2006-12,2.1233333333333335,2.2504999999999997,0.1271666666666662,1.6582709831029732,1.4148277509886094,-0.2434432321143638,3.7816043164363067,3.665327750988609,-0.1162765654476976,-0.1162765654476976,26.443803114292404,27.28268978757168,0.8388866732792764,-0.9204468061442466,1.759333479423523,-3.480765615165095,6.653103079838901
2007,trailing_E,2006-12,2007-12,2.2504999999999997,1.7890000000000001,-0.4614999999999996,3.504149044774856,2.6849795297521672,-0.8191695150226885,5.7546490447748555,4.473979529752167,-1.280669515022688,-1.280669515022688,17.377254324622744,22.35146569960713,4.974211374984385,1.80255052161481,3.171660853369575,10.373045637369085,18.25179510019303
2007,CAPE_E10,2006-12,2007-12,2.2504999999999997,1.7890000000000001,-0.4614999999999996,1.4148277509886094,2.063746472503761,0.6489187215151517,3.665327750988609,3.8527464725037612,0.18741872151515215,0.18741872151515215,27.28268978757168,25.955510105240222,-1.327179682331458,3.3532329093294937,-4.680412591660952,12.290697638093663,-17.155246158291405
2008,trailing_E,2007-12,2008-12,1.7890000000000001,2.17,0.3809999999999998,2.6849795297521672,-0.4743894434568574,-3.1593689732090247,4.473979529752167,1.6956105565431425,-2.778368973209025,-2.778368973209025,22.35146569960713,58.9758064516129,36.624340752005764,-9.423202687119774,46.04754343912554,-42.15921592687948,206.01576674202138
2008,CAPE_E10,2007-12,2008-12,1.7890000000000001,2.17,0.3809999999999998,2.063746472503761,4.333607885693162,2.269861413189401,3.8527464725037612,6.503607885693162,2.650861413189401,2.650861413189401,25.955510105240222,15.376080747423764,-10.579429357816458,-1.6462983140574234,-8.933131043759035,-6.342770022173628,-34.41708911725647
2009,trailing_E,2008-12,2009-12,2.17,1.3645454545454545,-0.8054545454545454,-0.4743894434568574,3.22577497629804,3.7001644197548975,1.6956105565431425,4.590320430843494,2.894709874300352,2.894709874300352,58.9758064516129,21.784971551893275,-37.19083489971962,28.308002129961366,-65.49883702968098,47.99934724620825,-111.06051950882596
2009,CAPE_E10,2008-12,2009-12,2.17,1.3645454545454545,-0.8054545454545454,4.333607885693162,3.5561388954829214,-0.7774689902102407,6.503607885693162,4.920684350028376,-1.5829235356647864,-1.5829235356647862,15.376080747423764,20.32237650021655,4.9462957527927855,2.5160331239978646,2.430262628794921,16.363292865897712,15.805475196936042
2010,trailing_E,2009-12,2010-12,1.3645454545454545,1.044090909090909,-0.32045454545454555,3.22577497629804,5.186125034140426,1.960350057842386,4.590320430843494,6.230215943231335,1.6398955123878407,1.6398955123878405,21.784971551893275,16.050808015513898,-5.734163536379377,1.2100814423636521,-6.944244978743029,5.554661567866437,-31.876309602706474
2010,CAPE_E10,2009-12,2010-12,1.3645454545454545,1.044090909090909,-0.32045454545454555,3.5561388954829214,3.4209164275125623,-0.13522246797035908,4.920684350028376,4.465007336603471,-0.4556770134249044,-0.45567701342490463,20.32237650021655,22.396379773044213,2.074003272827664,1.4577116153334888,0.616291657494175,7.172938732426081,3.0325767140846347
2011,trailing_E,2010-12,2011-12,1.044090909090909,-0.03142857142857143,-1.0755194805194803,5.186125034140426,7.024801154512573,1.8386761203721464,6.230215943231335,6.9933725830840014,0.7631566398526664,0.7631566398526661,16.050808015513898,14.299252443933295,-1.751555571580603,2.6274768058865687,-4.379032377467172,16.369747886505046,-27.282317334022196
2011,CAPE_E10,2010-12,2011-12,1.044090909090909,-0.03142857142857143,-1.0755194805194803,3.4209164275125623,4.903873921059247,1.4829574935466843,4.465007336603471,4.872445349630675,0.40743801302720417,0.40743801302720395,22.396379773044213,20.52357549943169,-1.8728042736125232,5.408852321411601,-7.281656595024124,24.150565297707512,-32.51265011940976
2012,trailing_E,2011-12,2012-12,-0.03142857142857143,-0.7575000000000001,-0.7260714285714286,7.024801154512573,6.839944508503892,-0.18485664600868024,6.9933725830840014,6.082444508503892,-0.9109280745801094,-0.9109280745801088,14.299252443933295,16.44075829383886,2.141505849905567,1.7049242960482713,0.43658155385729547,11.92317082821777,3.053177469025821
2012,CAPE_E10,2011-12,2012-12,-0.03142857142857143,-0.7575000000000001,-0.7260714285714286,4.903873921059247,5.4659833989722255,0.5621094779129789,4.872445349630675,4.708483398972225,-0.1639619506584502,-0.16396195065844965,20.52357549943169,21.238261139845612,0.7146856404139221,3.2156863495483936,-2.5010007091344715,15.668255999727911,-12.185989274645276
2013,trailing_E,2012-12,2013-12,-0.7575000000000001,0.7385714285714285,1.4960714285714287,6.839944508503892,4.804138414440443,-2.0358060940634495,6.082444508503892,5.542709843011871,-0.5397346654920208,-0.5397346654920208,16.44075829383886,18.041716566866267,1.6009582730274055,-4.9578577723880874,6.558816045415493,-30.155894781605262,39.89363463772468
2013,CAPE_E10,2012-12,2013-12,-0.7575000000000001,0.7385714285714285,1.4960714285714287,5.4659833989722255,3.283652275027194,-2.1823311239450316,4.708483398972225,4.022223703598622,-0.6862596953736029,-0.6862596953736029,21.238261139845612,24.861869296461936,3.6236081566163243,-9.922547791621831,13.546155948238155,-46.72015155235991,63.781850402168224
2014,trailing_E,2013-12,2014-12,0.7385714285714285,0.5104545454545455,-0.22811688311688305,4.804138414440443,4.4699034405940266,-0.3342349738464163,5.542709843011871,4.980357986048572,-0.562351856963299,-0.5623518569632994,18.041716566866267,20.078877920046914,2.0371613531806467,0.8268997716784785,1.2102615815021682,4.5832655036665715,6.708128780411181
2014,CAPE_E10,2013-12,2014-12,0.7385714285714285,0.5104545454545455,-0.22811688311688305,3.283652275027194,3.221712393590348,-0.06193988143684592,4.022223703598622,3.7321669390448937,-0.29005676455372864,-0.290056764553729,24.861869296461936,26.794085482572545,1.9322161861106082,1.5190825329848536,0.41313365312575456,6.110089771894314,1.661715972356701
2015,trailing_E,2014-12,2015-12,0.5104545454545455,0.7277272727272728,0.21727272727272728,4.4699034405940266,3.48486425243241,-0.9850391881616165,4.980357986048572,4.212591525159683,-0.7677664608888897,-0.7677664608888892,20.078877920046914,23.738356639315843,3.659478719268929,-1.0651388471771686,4.724617566446097,-5.304772763789381,23.530286828075194
2015,CAPE_E10,2014-12,2015-12,0.5104545454545455,0.7277272727272728,0.21727272727272728,3.221712393590348,3.1235481717647797,-0.09816422182556828,3.7321669390448937,3.8512754444920527,0.11910850544715901,0.11910850544715901,26.794085482572545,25.96542403712417,-0.8286614454483754,-1.513239991642541,0.6845785461941656,-5.647664267648863,2.554961417285283
