cik,ticker,w_2015,dlog_shares,shares_2015_adj,shares_last_adj,ratio,contrib
320193,AAPL,0.04541065827299191,-0.4345932786708907,23172276000.0,15004697000.0,0.6475279769669583,-0.019735166865462964
40545,GE,0.023234754436192297,-0.6713569441217132,2089959493.4399996,1068000000.0,0.5110146887306939,-0.015598813735700481
72971,WFC,0.02109046844275664,-0.4742585128082448,5209800000.0,3242300000.0,0.6223463472686092,-0.010002334198090984
1341439,ORCL,0.01225003490943052,-0.4518265119134546,4503000000.0,2866000000.0,0.6364645791694425,-0.005534890543946043
831001,C,0.011591258509260134,-0.4735808547515604,3007700000.0,1873100000.0,0.62276822821425,-0.005489398112461712
19617,JPM,0.018355310368815835,-0.2941682717518176,3732800000.0,2781500000.0,0.7451510930132876,-0.005399549928662772
70858,BAC,0.014054975005231441,-0.37842555651359244,11213992000.0,7680900000.0,0.6849389584012544,-0.0053187617381393396
5272,AIG,0.006158491920610207,-0.8500354673395302,1334464883.0,570349988.0,0.4273997729470413,-0.005234936557842618
56873,KR,0.00497163612705059,-1.014626632595017,1986000000.0,720000000.0,0.36253776435045315,-0.005044354422077073
354950,HD,0.013256426317994008,-0.3041618461595005,1346000000.0,993000000.0,0.7377414561664191,-0.004032099102358447
789019,MSFT,0.0341025327782083,-0.10047250033923631,8254000000.0,7465000000.0,0.9044099830385268,-0.003426366736127351
1166691,CMCSA,0.010581603577682494,-0.30584981767464703,5373412000.0,3957503000.0,0.7364972200158856,-0.0032363815249395835
318154,AMGN,0.00926004900153913,-0.3459161683009451,766000000.0,542000000.0,0.7075718015665796,-0.003203200668891408
200406,JNJ,0.021517659487225744,-0.14657166635610586,2812900000.0,2429400000.0,0.8636638344768744,-0.0031538792071259475
745732,ROST,0.003350695762974935,-0.9267427708061955,836154000.0,330984000.0,0.39584095752696274,-0.0031052330755079703
80424,PG,0.017052810052244727,-0.16115718135748647,2883600000.0,2454400000.0,0.8511582743792482,-0.0027481828022443717
104169,WMT,0.014804478920231581,-0.18559548874198004,9729000000.0,8081000000.0,0.8306095179360674,-0.0027476445007707214
858877,CSCO,0.01040843098076065,-0.2524254777813441,5146000000.0,3998000000.0,0.7769141080450835,-0.002627353163272651
60667,LOW,0.004591742427385489,-0.5555835244074842,990000000.0,568000000.0,0.5737373737373738,-0.0025510964409782063
804328,QCOM,0.006101657507370601,-0.3942409647919765,1639000000.0,1105000000.0,0.6741915802318487,-0.0024055233425359923
875045,BIIB,0.005274623249612327,-0.45217050919083057,231200000.0,147100000.0,0.6362456747404844,-0.0023850290805669996
1326801,META,0.022236592577298337,-0.10290996305742797,2853000000.0,2574000000.0,0.9022082018927445,-0.002288366920652849
886982,GS,0.006155266265706144,-0.3673856410508234,458600000.0,317600000.0,0.6925425207152203,-0.0022613564428649595
1075531,BKNG,0.004898573920350583,-0.45787811199861145,1289825000.0,815975000.0,0.6326245808539919,-0.0022429497781357613
78003,PFE,0.015041301217734279,-0.1435490073930716,6594878000.0,5713000000.0,0.8662783451035788,-0.002159163859705955
1065088,EBAY,0.0022017294063153715,-0.9581378418096554,1220000000.0,468000000.0,0.3836065573770492,-0.002109560261615864
927653,MCK,0.003451648392768844,-0.6067743052414705,235000000.0,128100000.0,0.5451063829787234,-0.0020943715554601534
310158,MRK,0.01117520147837693,-0.17195286959474493,2977368000.0,2507000000.0,0.842018856923296,-0.0019216079625063488
4962,AXP,0.005194979140571948,-0.3654011276275158,1003000000.0,696000000.0,0.6939182452642074,-0.0018982512359664127
313616,DHR,0.00490058338699535,-0.38665026392888563,1054128971.9999999,716100000.0,0.6793286391145694,-0.0018948118599872643
1099219,MET,0.002822108027766444,-0.6314276166073532,1266001277.97,673300000.0,0.5318320065834522,-0.0017819569457810439
66740,MMM,0.005068706258404348,-0.34209257976140134,762091200.0,541300000.0,0.710282443885981,-0.0017339667999903036
1467858,GM,0.0033198376556625195,-0.5220674386322391,1640000000.0,973000000.0,0.5932926829268292,-0.001733179141566589
1041061,YUM,0.0019707988398907387,-0.7852380136526957,616213000.0,281000000.0,0.4560111519880301,-0.0015475461663448408
829224,SBUX,0.005398233506381213,-0.283505966859522,1513400000.0,1139800000.0,0.7531386282542619,-0.0015304314095600734
773840,HON,0.0048796117133475545,-0.3122774044043191,837561910.813153,612909800.0,0.7317785014900595,-0.0015237924803450868
882095,GILD,0.007915650146518367,-0.19223244069340856,1521000000.0,1255000000.0,0.8251150558842867,-0.0015216447473403627
100885,UNP,0.003986799725825144,-0.37773045080175854,869400000.0,595900000.0,0.6854152288934897,-0.001505935657692259
1645590,HPE,0.0015606593622365468,-0.8684901081715888,3155501904.7999997,1324000000.0,0.41958459856607727,-0.0013554172183278214
320187,NKE,0.007059736961776199,-0.17313726749232156,1768800000.0,1487600000.0,0.8410221619176843,-0.0012223035667764752
1601712,SYF,0.0014912109874385677,-0.8040419660523803,835500000.0,373900000.0,0.4475164572112508,-0.0011989962141390174
927066,DVA,0.0011226400817219448,-1.047224465434432,216251807.0,75885000.0,0.35091036256635766,-0.0011756561594565308
860730,HCA,0.001990807757421702,-0.5775978640817026,426721000.0,239495000.0,0.5612449352152812,-0.0011498863084840594
1390777,BNY,0.0026079637086252067,-0.43969244383654277,1112511000.0,716718000.0,0.6442345289170175,-0.0011467019364824304
936468,LMT,0.003826859186493643,-0.29843772696140913,314700000.0,233500000.0,0.7419764855417859,-0.0011420791570185501
59478,LLY,0.0066872922545935035,-0.16978922313794323,1065720000.0,899300000.0,0.8438426603610705,-0.0011354301568038158
866787,AZO,0.0017794005456059068,-0.6246305242070002,32206000.0,17245000.0,0.5354592311991554,-0.0011114678955760396
898173,ORLY,0.0019158105000566716,-0.5760711756107447,1522710000.0,855919000.0,0.5621024357888239,-0.0011036432070150556
1393818,BX,0.002587085307765699,-0.4205277722592782,1188085411.0,780215856.0,0.6567001402224945,-0.0010879412211194184
1585689,HLT,0.0014969018248842559,-0.7056087306427142,481968810.9161793,238000000.0,0.4938078867542973,-0.0010562269965533422
1103982,MDLZ,0.004277181354670153,-0.23204068010709955,1637000000.0,1298000000.0,0.7929138668295663,-0.0009924800704790677
895421,MS,0.0046260528130620425,-0.20428106589587766,1952815453.0,1592000000.0,0.8152332047323265,-0.0009450149995429373
4977,AFL,0.0019322927812607715,-0.4822433748170885,866344000.0,534878000.0,0.617396784649054,-0.0009318353919698926
820027,AMP,0.0014598175976912946,-0.6290159084607863,184200000.0,98200000.0,0.5331161780673181,-0.0009182484923988323
77476,PEP,0.011050058894545871,-0.07841664546882891,1485000000.0,1373000000.0,0.9245791245791246,-0.0008665085507432831
277948,CSX,0.0019015955969331232,-0.4549414832762746,2952000000.0,1873000000.0,0.6344850948509485,-0.0008651147214603879
1510295,MPC,0.0015091604491794795,-0.5716808994872654,542000000.0,306000000.0,0.5645756457564576,-0.0008627582030575304
1035002,VLO,0.0017389880370301206,-0.4812668215244463,500000000.0,309000000.0,0.618,-0.0008369172452505222
27419,TGT,0.0025033578703957788,-0.32649251722756273,640100000.0,461800000.0,0.7214497734728949,-0.0008173276126269486
51143,IBM,0.010071364813962591,-0.080211008174602,1027904479.2820001,948675228.0,0.9229215818406178,-0.0008078343254221523
1521332,APTV,0.0018300179148355608,-0.437667376628408,341961520.0,220750000.0,0.6455404689977984,-0.0008009391399690693
899051,ALL,0.001880997969901072,-0.4206985440584897,406800000.0,267100000.0,0.6565880039331367,-0.0007913331073143558
1633917,PYPL,0.003276647617771332,-0.23872402228945783,1229000000.0,968000000.0,0.7876322213181448,-0.0007822144989395424
109198,TJX,0.0037152249137552126,-0.208742630737565,1407090000.0,1142000000.0,0.8116040907120369,-0.0007755258222790061
50863,INTC,0.00992290256226407,-0.07728802552553729,4894000000.0,4530000000.0,0.9256232120964446,-0.0007669215465196848
18230,CAT,0.003043198560726683,-0.2414796011434516,601300000.0,472300000.0,0.7854648262098786,-0.0007348703746446054
721371,CAH,0.0022270811760316954,-0.32519280566838,335000000.0,242000000.0,0.7223880597014926,-0.0007242307760849823
713676,PNC,0.002616280898370234,-0.2743358304988864,521000000.0,396000000.0,0.7600767754318618,-0.0007177395930727707
6951,AMAT,0.0017045922578504762,-0.4169500579750614,1226000000.0,808000000.0,0.6590538336052202,-0.0007107298407345969
86312,TRV,0.002095460119227455,-0.32148476159573197,313900000.0,227600000.0,0.7250716788786238,-0.0006736584968632025
1534701,PSX,0.0022401665296209123,-0.2930096860775494,546977000.0,408053000.0,0.7460149147039089,-0.0006563904916056568
1133421,NOC,0.0022653561689220444,-0.28698642024981386,191600000.0,143800000.0,0.7505219206680585,-0.0006501264575097701
27904,DAL,0.003035037419060128,-0.20649191772176764,804000000.0,654000000.0,0.8134328358208955,-0.0006267106970190501
1058290,CTSH,0.002741288099705659,-0.22649172315706603,613300000.0,489000000.0,0.7973259416272623,-0.0006208790653722937
796343,ADBE,0.003548008954703103,-0.17205040945735894,507164000.0,427000000.0,0.8419367305250373,-0.000610436393415045
