cik,entityName,val,accn,end,fy,fp,form,filed,frame,year,tag
4127,"Skyworks Solutions, Inc.",166691622.0,0000004127-22-000002,2021-01-22,,,,,,2020,EntityCommonStockSharesOutstanding
4127,"Skyworks Solutions, Inc.",164005766.0,0000004127-22-000010,2022-01-27,,,,,,2021,EntityCommonStockSharesOutstanding
4127,"Skyworks Solutions, Inc.",158974105.0,0000004127-23-000005,2023-01-20,,,,,,2022,EntityCommonStockSharesOutstanding
4127,"Skyworks Solutions, Inc.",160225891.0,0000004127-24-000002,2024-01-18,,,,,,2023,EntityCommonStockSharesOutstanding
4127,"Skyworks Solutions, Inc.",160741022.0,0000004127-25-000006,2025-01-17,,,,,,2024,EntityCommonStockSharesOutstanding
4127,"Skyworks Solutions, Inc.",149935620.0,0000004127-26-000003,2026-01-26,,,,,,2025,EntityCommonStockSharesOutstanding
4127,"Skyworks Solutions, Inc.",150472782.0,0000004127-26-000049,2026-07-23,,,,,,2026,EntityCommonStockSharesOutstanding
4281,Howmet Aerospace Inc.,1314845888.0,0001193125-16-470162,2016-02-11,,,,,,2015,EntityCommonStockSharesOutstanding
4281,Howmet Aerospace Inc.,433614667.0,0000004281-21-000049,2021-02-12,,,,,,2020,EntityCommonStockSharesOutstanding
4281,HOWMET AEROSPACE INC.,418904876.0,0000004281-22-000004,2022-02-10,,,,,,2021,EntityCommonStockSharesOutstanding
4281,Howmet Aerospace Inc.,412282856.0,0000004281-23-000004,2023-02-10,,,,,,2022,EntityCommonStockSharesOutstanding
4281,Howmet Aerospace Inc.,410303651.0,0000004281-24-000007,2024-02-09,,,,,,2023,EntityCommonStockSharesOutstanding
4281,HOWMET AEROSPACE INC.,405022519.0,0000004281-25-000011,2025-02-10,,,,,,2024,EntityCommonStockSharesOutstanding
4281,HOWMET AEROSPACE INC.,400940063.0,0000004281-26-000012,2026-02-09,,,,,,2025,EntityCommonStockSharesOutstanding
4281,HOWMET AEROSPACE INC.,398801399.0,0000004281-26-000025,2026-08-03,,,,,,2026,EntityCommonStockSharesOutstanding
4904,"AMERICAN ELECTRIC POWER COMPANY, INC.",491052581.0,0000004904-16-000056,2015-12-31,,,,,,2015,EntityCommonStockSharesOutstanding
4904,"AMERICAN ELECTRIC POWER COMPANY, INC.",491711928.0,0000004904-17-000019,2016-12-31,,,,,,2016,EntityCommonStockSharesOutstanding
4904,"AMERICAN ELECTRIC POWER COMPANY, INC.",492005598.0,0000004904-18-000009,2017-12-31,,,,,,2017,EntityCommonStockSharesOutstanding
4904,"AMERICAN ELECTRIC POWER COMPANY, INC.",493245876.0,0000004904-19-000009,2018-12-31,,,,,,2018,EntityCommonStockSharesOutstanding
4904,"AMERICAN ELECTRIC POWER COMPANY, INC.",494169471.0,0000004904-20-000007,2019-12-31,,,,,,2019,EntityCommonStockSharesOutstanding
4904,"AMERICAN ELECTRIC POWER COMPANY, INC.",496604194.0,0000004904-21-000010,2020-12-31,,,,,,2020,EntityCommonStockSharesOutstanding
4904,AMERICAN ELECTRIC POWER CO INC.,504212015.0,0000004904-22-000024,2021-12-31,,,,,,2021,EntityCommonStockSharesOutstanding
4904,AMERICAN ELECTRIC POWER CO INC.,513866081.0,0000004904-23-000011,2022-12-31,,,,,,2022,EntityCommonStockSharesOutstanding
4904,AMERICAN ELECTRIC POWER CO INC.,526184585.0,0000004904-24-000020,2023-12-31,,,,,,2023,EntityCommonStockSharesOutstanding
4904,AMERICAN ELECTRIC POWER CO INC.,532907715.0,0000004904-25-000027,2024-12-31,,,,,,2024,EntityCommonStockSharesOutstanding
4904,AMERICAN ELECTRIC POWER CO INC.,540861473.0,0000004904-26-000013,2025-12-31,,,,,,2025,EntityCommonStockSharesOutstanding
4962,AMERICAN EXPRESS CO,964045452.0,0001193125-16-469798,2016-02-08,,,,,,2015,EntityCommonStockSharesOutstanding
4962,AMERICAN EXPRESS CO,901270758.0,0001193125-17-047588,2017-02-08,,,,,,2016,EntityCommonStockSharesOutstanding
4962,AMERICAN EXPRESS CO,860278838.0,0000004962-18-000032,2018-02-06,,,,,,2017,EntityCommonStockSharesOutstanding
4962,AMERICAN EXPRESS CO,843368671.0,0000004962-19-000018,2019-02-04,,,,,,2018,EntityCommonStockSharesOutstanding
4962,AMERICAN EXPRESS CO,808040664.0,0000004962-20-000030,2020-01-30,,,,,,2019,EntityCommonStockSharesOutstanding
