ticker,date,ratio
APD,2016-10-03 09:30:00,1.081
APH,2000-04-26 09:30:00,2.0
APH,2004-03-30 09:30:00,2.0
APH,2007-04-02 09:30:00,2.0
APH,2014-10-10 09:30:00,2.0
APH,2021-03-05 09:30:00,2.0
APH,2024-06-12 09:30:00,2.0
APH,2026-09-03 09:30:00,2.0
APTV,2017-12-05 09:30:00,1.193
ATO,1985-06-13 09:30:00,2.0
ATO,1994-05-17 09:30:00,1.5
AVGO,2024-07-15 09:30:00,10.0
AVY,1983-12-29 09:30:00,2.0
AVY,1987-03-17 09:30:00,2.0
AVY,1996-12-23 09:30:00,2.0
AXON,2004-02-11 09:30:00,3.0
AXON,2004-04-30 09:30:00,2.0
AXON,2004-11-30 09:30:00,2.0
AXP,1983-02-11 09:30:00,1.3333333333333333
AXP,1983-08-11 09:30:00,1.5
AXP,1987-05-11 09:30:00,2.0
AXP,1994-05-31 09:30:00,1.13314447592068
AXP,2000-05-11 09:30:00,3.0
AXP,2005-10-03 09:30:00,1.1424654404204273
AZO,1992-02-03 09:30:00,2.0
AZO,1994-04-21 09:30:00,2.0
BA,1966-05-18 09:30:00,2.0
BA,1977-09-13 09:30:00,2.0
BA,1979-04-16 09:30:00,1.5
BA,1980-04-15 09:30:00,1.5
BA,1985-06-10 09:30:00,1.5
BA,1989-06-12 09:30:00,1.5
BA,1990-06-11 09:30:00,1.5
BA,1997-06-09 09:30:00,2.0
BAC,1986-11-21 09:30:00,2.0
BAC,1997-02-28 09:30:00,2.0
BAC,2004-08-30 09:30:00,2.0
BALL,1982-10-04 09:30:00,2.0
BALL,1985-10-02 09:30:00,2.0
BALL,2002-02-25 09:30:00,2.0
BALL,2004-08-24 09:30:00,2.0
BALL,2011-02-16 09:30:00,2.0
BALL,2017-05-17 09:30:00,2.0
BAX,1981-11-09 09:30:00,2.0
BAX,1983-11-18 09:30:00,2.0
BAX,1992-12-01 09:30:00,1.1010426874249915
BAX,2001-05-31 09:30:00,2.0
BAX,2015-07-01 09:30:00,1.841
BBY,1986-04-01 09:30:00,2.0
BBY,1987-02-23 09:30:00,1.5
BBY,1993-09-02 09:30:00,1.5
BBY,1994-04-29 09:30:00,2.0
BBY,1998-05-27 09:30:00,2.0
BBY,1999-03-19 09:30:00,2.0
BBY,2002-05-13 09:30:00,1.5
BBY,2005-08-04 09:30:00,1.5
BDX,1986-03-03 09:30:00,2.0
BDX,1993-03-01 09:30:00,2.0
BDX,1996-08-16 09:30:00,2.0
BDX,1998-08-21 09:30:00,2.0
BDX,2022-04-01 09:30:00,1.025
BDX,2026-02-10 09:30:00,1.272
BEN,1984-04-13 09:30:00,1.25
BEN,1985-04-02 09:30:00,2.0
BEN,1986-01-23 09:30:00,2.0
BEN,1986-10-27 09:30:00,1.5
BEN,1987-07-15 09:30:00,1.25
BEN,1990-01-16 09:30:00,1.5
BEN,1992-04-15 09:30:00,2.0
