cik,ticker,w_2015,dlog_shares,shares_2015_adj,shares_last_adj,ratio,contrib
40545,GE,0.023332890866689195,-0.6741955296958574,2146924244.0099998,1094000000.0,0.50956618662829,-0.015730930717203155
1108524,CRM,0.01289679792801299,-0.841524700884228,2259584000.0,974000000.0,0.4310527955588285,-0.010852974018735462
829224,SBUX,0.010631804271487133,-0.9739219293086361,3049000000.0,1151300000.0,0.3775992128566743,-0.010354547328118547
100885,UNP,0.008351591628738596,-1.1187821331387178,1863000000.0,608600000.0,0.3266774020397209,-0.009343611497503625
72971,WFC,0.02125632149632633,-0.4375886352312852,5371200000.0,3467600000.0,0.6455913017575216,-0.009301524713614869
1341439,ORCL,0.012882232271172618,-0.5399406764194936,4844000000.0,2823000000.0,0.5827828241123039,-0.006955641206289972
5272,AIG,0.006682431786002626,-0.8124975228949203,1481206797.0,657283160.0,0.4437484092911572,-0.005429459273041412
56873,KR,0.005090202237894633,-1.0539515178406889,2080000000.0,725000000.0,0.3485576923076923,-0.00536482637474512
70858,BAC,0.014079754086568535,-0.3702163278562841,11491418000.0,7935800000.0,0.6905849217215839,-0.005212554855048913
19617,JPM,0.018338414328348415,-0.2814714404430424,3814900000.0,2879000000.0,0.7546724684788592,-0.005161739896441557
831001,C,0.011459080935318593,-0.4496441746135079,3041600000.0,1940100000.0,0.6378550762756444,-0.005152508988990713
354950,HD,0.013806454476031542,-0.36749235711439315,1434000000.0,993000000.0,0.6924686192468619,-0.005073766498789395
1058290,CTSH,0.005328187732454092,-0.897524187377087,1219400000.0,497000000.0,0.40757749712973596,-0.004782177364763423
1510295,MPC,0.0034514929734818563,-1.3133136577136544,1268000000.0,341000000.0,0.2689274447949527,-0.004532892861576434
789019,MSFT,0.03421032439536642,-0.1257693872890334,8470000000.0,7469000000.0,0.8818181818181818,-0.004302611538164306
78003,PFE,0.016203362034106703,-0.2429227865239313,7267330000.0,5700000000.0,0.784332072439259,-0.003936165856381276
47217,HPQ,0.002559830356456585,-1.4682563582355685,4293900000.0,989000000.0,0.23032674258832297,-0.0037584871968718027
104169,WMT,0.015124093641054952,-0.22963155404171337,10167000000.0,8081000000.0,0.7948263991344546,-0.0034729691262678436
1166691,CMCSA,0.010948246991658056,-0.3103255039972169,5687110000.0,4169836000.0,0.7332082551594746,-0.0033975202655723
745732,ROST,0.0033815968503919554,-0.9393026111903401,863220000.0,337433000.0,0.3909003498528764,-0.0031763427515661934
318154,AMGN,0.009040606401839995,-0.34645655498005423,765000000.0,541000000.0,0.7071895424836602,-0.0031321773489121083
79879,PPG,0.003416100948240057,-0.9045576293451657,580400000.0,234900000.0,0.4047208821502412,-0.0030900601753437985
80424,PG,0.016942172314450128,-0.17022009451902465,2930600000.0,2471900000.0,0.8434791510270935,-0.0028838981727233033
858877,CSCO,0.010637740015593622,-0.2704826312693015,5380000000.0,4105000000.0,0.7630111524163569,-0.002877323910176503
60667,LOW,0.004810711570653943,-0.5970661557857562,1061000000.0,584000000.0,0.5504241281809613,-0.002872313064084407
804328,QCOM,0.006383370813503457,-0.43968126122574214,1754000000.0,1130000000.0,0.6442417331812998,-0.0028066485301527916
886982,GS,0.0065552134140167235,-0.40386510776683093,499600000.0,333600000.0,0.6677341873498799,-0.00264742197188644
821189,EOG,0.004049031638401268,-0.652301386693805,1092454000.0,569000000.0,0.5208457289734854,-0.0026411889524962364
875045,BIIB,0.0053147062904822465,-0.4906089285759565,238300000.0,145900000.0,0.6122534620226605,-0.0026074423588693914
882095,GILD,0.008623403170367378,-0.3005471682486664,1695000000.0,1255000000.0,0.7404129793510325,-0.0025917394035204874
310158,MRK,0.011520665008523372,-0.21160394721579648,3139808000.0,2541000000.0,0.8092851537418848,-0.002437818190354453
4962,AXP,0.005513944193938631,-0.4235337025186645,1089000000.0,713000000.0,0.6547291092745638,-0.002335341199940121
51143,IBM,0.011051239113015173,-0.2079452720962673,1153782095.176,937161224.0,0.8122514883168157,-0.0022980529243568516
66740,MMM,0.00539364119996281,-0.40660565945963495,829545600.0,552400000.0,0.6659067325533401,-0.0021930850369995354
1099800,EW,0.0026173194615109656,-0.8235868640160913,1365600000.0,599300000.0,0.4388547158758055,-0.0021555899274341007
1075531,BKNG,0.004864850674897707,-0.4309135440092935,1310325000.0,851600000.0,0.6499150973995002,-0.002096330045396174
927653,MCK,0.0034316911875490403,-0.5778777616438778,239000000.0,134100000.0,0.5610878661087866,-0.00198309802211386
200406,JNJ,0.021035199833028633,-0.094052483354428,2812900000.0,2560400000.0,0.9102349888015927,-0.001978412782152992
50863,INTC,0.010102782585010102,-0.19071453708617556,5097000000.0,4212000000.0,0.8263684520306063,-0.0019267475039824776
10456,BAX,0.0028071009153805633,-0.6839966180420999,1010709000.0,510000000.0,0.5045962784540358,-0.0019200475326231882
820313,APH,0.0024677550654244036,-0.7200070088960505,5192000000.0,2527200000.0,0.486748844375963,-0.0017768009433443022
