broker,period,metric,value,unit,flow_or_stock,firm_label,source_url,source_accession,source_doc_date
Bank of America (Global Wealth & Investment Management / Merrill),2022-Q1,Total client balances,3714.152,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085823000005/bac-12312022ex993.htm,0000070858-23-000005,2023-01-13
Bank of America (Global Wealth & Investment Management / Merrill),2022-Q2,Total client balances,3367.114,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085823000005/bac-12312022ex993.htm,0000070858-23-000005,2023-01-13
Bank of America (Global Wealth & Investment Management / Merrill),2022-Q3,Total client balances,3248.756,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085823000005/bac-12312022ex993.htm,0000070858-23-000005,2023-01-13
Bank of America (Global Wealth & Investment Management / Merrill),2022-Q4,Total client balances,3386.841,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085823000005/bac-12312022ex993.htm,0000070858-23-000005,2023-01-13
Bank of America (Global Wealth & Investment Management / Merrill),2023-Q1,Total client balances,3521.606,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085824000011/bac-12312023ex993.htm,0000070858-24-000011,2024-01-12
Bank of America (Global Wealth & Investment Management / Merrill),2023-Q2,Total client balances,3635.194,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085824000011/bac-12312023ex993.htm,0000070858-24-000011,2024-01-12
Bank of America (Global Wealth & Investment Management / Merrill),2023-Q3,Total client balances,3550.853,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085824000011/bac-12312023ex993.htm,0000070858-24-000011,2024-01-12
Bank of America (Global Wealth & Investment Management / Merrill),2023-Q4,Total client balances,3789.374,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085824000011/bac-12312023ex993.htm,0000070858-24-000011,2024-01-12
Bank of America (Global Wealth & Investment Management / Merrill),2024-Q1,Total client balances,3973.39,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085825000011/bac-12312024ex993.htm,0000070858-25-000011,2025-01-16
Bank of America (Global Wealth & Investment Management / Merrill),2024-Q2,Total client balances,4011.885,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085825000011/bac-12312024ex993.htm,0000070858-25-000011,2025-01-16
Bank of America (Global Wealth & Investment Management / Merrill),2024-Q3,Total client balances,4193.941,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085825000011/bac-12312024ex993.htm,0000070858-25-000011,2025-01-16
Bank of America (Global Wealth & Investment Management / Merrill),2024-Q4,Total client balances,4252.106,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085825000011/bac-12312024ex993.htm,0000070858-25-000011,2025-01-16
Bank of America (Global Wealth & Investment Management / Merrill),2025-Q1,Total client balances,4157.194,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085826000020/bac-12312025ex993.htm,0000070858-26-000020,2026-01-14
Bank of America (Global Wealth & Investment Management / Merrill),2025-Q2,Total client balances,4395.231,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085826000020/bac-12312025ex993.htm,0000070858-26-000020,2026-01-14
Bank of America (Global Wealth & Investment Management / Merrill),2025-Q3,Total client balances,4640.799,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085826000020/bac-12312025ex993.htm,0000070858-26-000020,2026-01-14
Bank of America (Global Wealth & Investment Management / Merrill),2025-Q4,Total client balances,4751.394,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085826000020/bac-12312025ex993.htm,0000070858-26-000020,2026-01-14
Bank of America (Global Wealth & Investment Management / Merrill),2026-Q1,Total client balances,4572.406,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085826000353/bac-06302026ex993.htm,0000070858-26-000353,2026q2
Bank of America (Global Wealth & Investment Management / Merrill),2026-Q2,Total client balances,4934.396,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085826000353/bac-06302026ex993.htm,0000070858-26-000353,2026q2
