window,A_exclusive_days,A_exclusive_pct_days,A_exclusive_sum_delta_pe,A_exclusive_pct_change,B_exclusive_days,B_exclusive_pct_days,B_exclusive_sum_delta_pe,B_exclusive_pct_change,source
0,27,10.714285714285714,-1.6705894607504526,-52.242570674379195,5,1.984126984126984,-0.2476878244991667,-7.7456783851420825,each set's window with days shared by the other set's same-size window removed -- tests whether each set's effect survives excluding the confound
"-1,+1",57,22.61904761904762,-0.6475302700733252,-20.24952670472926,15,5.952380952380952,1.2817364741812334,40.08238403962082,each set's window with days shared by the other set's same-size window removed -- tests whether each set's effect survives excluding the confound
"-1,+5",89,35.317460317460316,0.9190741770995068,28.741231032637398,31,12.3015873015873,1.1121378730727791,34.77870703647242,each set's window with days shared by the other set's same-size window removed -- tests whether each set's effect survives excluding the confound
