window,neither_days,neither_pct_of_days,neither_sum_delta_pe,neither_pct_of_total_change,artifact_days_in_neither,artifact_sum_delta_pe,artifact_pct_of_total_change,neither_exartifact_sum_delta_pe,neither_exartifact_pct_of_total_change,source
0,217,86.11111111111111,5.189678558377448,162.29130808807582,4,-2.833880362037757,-88.62093205711176,8.023558920415205,250.91224014518758,"derived; artifact days = first trading day of each 2024 calendar quarter (2024-01-02/04-01/07-01/10-01), where the P2c step-function E jumps"
"-1,+1",171,67.85714285714286,3.025453322165582,94.61178986144752,4,-2.833880362037757,-88.62093205711176,5.859333684203339,183.2327219185593,"derived; artifact days = first trading day of each 2024 calendar quarter (2024-01-02/04-01/07-01/10-01), where the P2c step-function E jumps"
"-1,+5",107,42.46031746031746,0.7307629445934474,22.852373773500883,4,-2.833880362037757,-88.62093205711176,3.564643306631204,111.47330583061263,"derived; artifact days = first trading day of each 2024 calendar quarter (2024-01-02/04-01/07-01/10-01), where the P2c step-function E jumps"
